"ID","Category","CategoryName","Name","Code","Spec","Image","MonthlyFee","RetailPrice","Status","Description"
"CH-001","chair","의자","퍼시스 T50 메쉬 의자 (T500HLDA)","T500HLDA","W670 * D630 * H1160~1230","https://images.unsplash.com/photo-1580481072645-022f9a6d1270?w=600&auto=format&fit=crop&q=80","15000","380000","A급 (검수 완료)","인체공학적 멀티 틸팅 기능과 통기성 우수한 메쉬 소재의 퍼시스 대표 사무용 의자."
"CH-002","chair","의자","퍼시스 CH4300 메쉬 사무용 의자","CH4300","W640 * D580 * H980~1050","https://images.unsplash.com/photo-1505797149-43b0069ec26b?w=600&auto=format&fit=crop&q=80","12000","290000","A급 (검수 완료)","슬림한 디자인과 뛰어난 요추 지지 기능을 갖춘 효율적인 팀원용 의자."
"CH-003","chair","의자","퍼시스 지엘(ZEAL) 중역용 가죽 의자","CHN4600","W700 * D720 * H1180~1250","https://images.unsplash.com/photo-1541558869434-2840d308329a?w=600&auto=format&fit=crop&q=80","28000","750000","S급 (신품급)","천연 가죽의 품격과 최고급 싱크로나이즈드 틸팅이 적용된 임원 전용 가죽 의자."
"CH-004","chair","의자","퍼시스 휠라(BUTTON) 다용도 회의 의자","CH0015","W560 * D540 * H820","https://images.unsplash.com/photo-1503602642458-232111445657?w=600&auto=format&fit=crop&q=80","7000","160000","A급 (검수 완료)","스태킹(적재)이 가능하여 공간 활용도가 뛰어난 회의실/교육장용 의자."
"DK-001","desk","데스크/책상","퍼시스 인에이블(ENABLE) 일자형 데스크","FDD014","W1400 * D700 * H720","https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd?w=600&auto=format&fit=crop&q=80","18000","420000","A급 (검수 완료)","덕트형 배선 처리구와 덕트 커버가 포함된 모던 오피스 대표 일자형 책상."
"DK-002","desk","데스크/책상","퍼시스 모션데스크 (전동 모션데스크)","FDM016","W1600 * D800 * H650~1250","https://images.unsplash.com/photo-1595515106969-1ce29566ff1c?w=600&auto=format&fit=crop&q=80","35000","980000","S급 (신품급)","높낮이 조절 메모리 기능이 탑재된 스탠딩 워크 지원 전동 리프트 모션데스크."
"DK-003","desk","데스크/책상","퍼시스 인라이트(INLIGHT) L자형 워크스테이션","FDD016L","W1600 * D1200 * H720","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=600&auto=format&fit=crop&q=80","25000","620000","A급 (검수 완료)","넓은 작업 영역과 효율적인 동선을 제공하는 L자 확장형 집무용 데스크."
"ST-001","storage","서랍/수납","퍼시스 3단 이동식 슬림 쇠서랍","FP3","W300 * D550 * H610","https://images.unsplash.com/photo-1595428774223-ef52624120d2?w=600&auto=format&fit=crop&q=80","6000","180000","A급 (검수 완료)","잠금장치가 포함된 서류 및 소품 보관용 잠금식 3단 이동 서랍장."
"ST-002","storage","서랍/수납","퍼시스 캐비닛 5단 도어장 (올도어)","FCL050","W800 * D400 * H1800","https://images.unsplash.com/photo-1595515106969-1ce29566ff1c?w=600&auto=format&fit=crop&q=80","16000","450000","A급 (검수 완료)","대용량 서류 보관과 기밀 유지가 가능한 5단 잠금 도어 캐비닛."
"MT-001","table","회의/테이블","퍼시스 비콘(BEACON) 6인용 회의 테이블","FMT2412","W2400 * D1200 * H720","https://images.unsplash.com/photo-1611269154421-4e27233ac5c7?w=600&auto=format&fit=crop&q=80","32000","890000","A급 (검수 완료)","중앙 매립형 멀티탭 멀티 덕트가 기본 장착된 6~8인용 프리미엄 회의 테이블."
"MT-002","table","회의/테이블","퍼시스 원형 미팅 테이블 (Ø1000)","CR010","W1000 * D1000 * H720","https://images.unsplash.com/photo-1577140917170-285929fb55b7?w=600&auto=format&fit=crop&q=80","14000","320000","A급 (검수 완료)","소규모 미팅 및 휴게 공간에 적합한 심플한 원형 소회의 테이블."
"PT-001","partition","파티션","퍼시스 블록 파티션 H1200 (패브릭)","PT1200","W1000 * H1200 * T45","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","5000","120000","A급 (검수 완료)","좌식 시선 차단 및 독립적 공간 구획을 위한 고급 흡음 패브릭 파티션."
"LG-001","lounge","라운지/소파","퍼시스 스퀘어 1인용 소파","CS101","W800 * D750 * H700","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&auto=format&fit=crop&q=80","20000","480000","S급 (신품급)","접객실 및 휴게 라운지에 적합한 모던 스타일 1인 쿠션 소파."
